task,metric,descriptor,group,threshold_task_median,n_samples,positive_n,prevalence,metric_valid,validity_reason,reference_model,comparator_model,reference_seeds,comparator_seeds,bootstrap_replicates_requested,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05,primary_subgroup_comparable
ames,AUROC,molecular_weight,low_or_equal_median,257.33599999999996,729,445.0,0.6104252400548696,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8714986548504511,0.8034182623832885,0.0680803924671625,0.0434578210261321,0.0939598903253941,0.0001999800019998,10000.0,0.0004030366194149,True,True
ames,AUROC,molecular_weight,above_median,257.33599999999996,728,425.0,0.5837912087912088,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8739972820811495,0.826853038245001,0.0471442438361484,0.0255364647461337,0.0688938904500297,0.0001999800019998,10000.0,0.0004030366194149,True,True
ames,AUROC,clogp,low_or_equal_median,2.748000000000001,730,430.0,0.589041095890411,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8671162790697674,0.8010155038759689,0.0661007751937985,0.0413849200855568,0.0914055361207557,0.0001999800019998,10000.0,0.0004030366194149,True,True
ames,AUROC,clogp,above_median,2.748000000000001,727,440.0,0.6052269601100413,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.877541970224897,0.8293751979727588,0.0481667722521381,0.0260460064807398,0.0701901595555997,0.0001999800019998,10000.0,0.0004030366194149,True,True
ames,AUROC,tpsa,low_or_equal_median,52.04,752,441.0,0.586436170212766,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.9008610947058352,0.8467783683677115,0.0540827263381237,0.0323662056358904,0.0769491935417294,0.0001999800019998,10000.0,0.0004030366194149,True,True
ames,AUROC,tpsa,above_median,52.04,705,429.0,0.6085106382978723,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8414327218675045,0.7830267558528428,0.0584059660146617,0.0330537990590068,0.0831172936795791,0.0001999800019998,10000.0,0.0004030366194149,True,True
bbb_martins,AUROC,molecular_weight,low_or_equal_median,285.517,203,188.0,0.9261083743842364,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9120567375886526,0.87322695035461,0.0388297872340426,-0.040608309977198,0.1379468818566561,0.3953604639536046,10000.0,0.4337849548378495,False,True
bbb_martins,AUROC,molecular_weight,above_median,285.517,203,140.0,0.6896551724137931,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9242630385487528,0.8287414965986394,0.0955215419501135,0.0544562597172559,0.1387988865540036,0.0001999800019998,10000.0,0.0004030366194149,True,True
bbb_martins,AUROC,clogp,low_or_equal_median,2.04185,203,158.0,0.7783251231527094,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9458509142053446,0.8733473980309423,0.0725035161744023,0.0305199285408753,0.1183866686618085,0.0001999800019998,10000.0,0.0004030366194149,True,True
bbb_martins,AUROC,clogp,above_median,2.04185,203,170.0,0.8374384236453202,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9080213903743316,0.8077540106951873,0.1002673796791442,0.036091588970509,0.1697863418094509,0.001999800019998,10000.0,0.0035886822276676,True,True
bbb_martins,AUROC,tpsa,low_or_equal_median,52.625,203,193.0,0.9507389162561576,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.8321243523316062,0.6093264248704664,0.2227979274611398,0.0249971655328798,0.3922834717365967,0.0256,9999.0,0.0372622222222222,True,True
bbb_martins,AUROC,tpsa,above_median,52.625,203,135.0,0.6650246305418719,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9133986928104576,0.839760348583878,0.0736383442265794,0.0340869174294019,0.1145416652050117,0.0003999600039996,10000.0,0.0007820113511036,True,True
bioavailability_ma,AUROC,molecular_weight,low_or_equal_median,347.82750000000004,64,56.0,0.875,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6718750000000001,0.4799107142857143,0.1919642857142858,0.0119961769921795,0.3796610169491524,0.039003900390039,9998.0,0.0532240724072407,False,True
bioavailability_ma,AUROC,molecular_weight,above_median,347.82750000000004,64,41.0,0.640625,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6839872746553552,0.6405090137857901,0.0434782608695651,-0.0907263861536131,0.18326553897421,0.5577442255774423,10000.0,0.5798769329416265,False,True
bioavailability_ma,AUROC,clogp,low_or_equal_median,2.8474500000000016,64,49.0,0.765625,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6571428571428571,0.5238095238095238,0.1333333333333333,-0.0214907438858694,0.2934918648310387,0.091990800919908,10000.0,0.1169980089369703,False,True
bioavailability_ma,AUROC,clogp,above_median,2.8474500000000016,64,48.0,0.75,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.8033854166666666,0.7161458333333333,0.0872395833333333,-0.0388089278264496,0.2180817031841749,0.1827817218278172,10000.0,0.2176764141767641,False,True
bioavailability_ma,AUROC,tpsa,low_or_equal_median,65.49000000000001,64,54.0,0.84375,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6796296296296296,0.6296296296296297,0.0499999999999999,-0.1091969987228608,0.2208413461538461,0.5625437456254374,10000.0,0.5802616588734827,False,True
bioavailability_ma,AUROC,tpsa,above_median,65.49000000000001,64,43.0,0.671875,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.7209302325581396,0.606312292358804,0.1146179401993355,-0.0259741981242512,0.2528510551948051,0.1073892610738926,10000.0,0.1339808876255231,False,True
caco2_wang,MAE,molecular_weight,low_or_equal_median,448.38000000000017,92,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2740886457455179,0.3458635658381587,0.0717749200926408,0.0206909855242357,0.1227066160510784,0.0061993800619938,10000.0,0.0100261578780393,True,True
caco2_wang,MAE,molecular_weight,above_median,448.38000000000017,90,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.290646814332411,0.3218287293128797,0.0311819149804687,-0.0192092441164296,0.0828103428959384,0.2273772622737726,10000.0,0.263596649184639,False,True
caco2_wang,MAE,clogp,low_or_equal_median,2.167,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2942302148039095,0.3081401528589941,0.0139099380550846,-0.0304201718170367,0.0572488672008354,0.5301469853014699,10000.0,0.5555940405959404,False,True
caco2_wang,MAE,clogp,above_median,2.167,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2703232873774602,0.3598162613747398,0.0894929739972795,0.034076164308064,0.1439179063258227,0.0017998200179982,10000.0,0.0032746725327467,True,True
caco2_wang,MAE,tpsa,low_or_equal_median,112.28,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2855294169904436,0.3340333221326891,0.0485039051422455,-0.0010930585739,0.0965043809874952,0.0553944605539446,10000.0,0.0740476972710892,False,True
caco2_wang,MAE,tpsa,above_median,112.28,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2790240851909261,0.3339230921010447,0.0548990069101186,0.0040790059069488,0.1076625725280475,0.0345965403459654,10000.0,0.0477068082665417,True,True
clearance_hepatocyte_az,Spearman,molecular_weight,low_or_equal_median,405.50200000000024,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.1491928987236923,0.2596434208531714,-0.1104505221294791,-0.2805843136938036,0.0633195080300884,0.20997900209979,10000.0,0.2456004399560044,False,False
clearance_hepatocyte_az,Spearman,molecular_weight,above_median,405.50200000000024,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.4510411141671142,0.374522533849882,0.0765185803172321,-0.1189772561609612,0.2783473375689197,0.4557544245575442,10000.0,0.4814824969115991,False,False
clearance_hepatocyte_az,Spearman,clogp,low_or_equal_median,3.215300000000001,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.0766887781358869,0.2488799636012637,-0.1721911854653767,-0.3506922558311879,0.011900472793668,0.0643935606439356,10000.0,0.0843555644435556,False,False
clearance_hepatocyte_az,Spearman,clogp,above_median,3.215300000000001,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.5182309603591719,0.3944712191160356,0.1237597412431362,-0.050488891576391,0.299113993145491,0.1771822817718228,10000.0,0.2129438432303558,False,False
clearance_hepatocyte_az,Spearman,tpsa,low_or_equal_median,77.17,122,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.3958573664447206,0.3505392839672221,0.0453180824774984,-0.114911729720735,0.2019845381038376,0.5757424257574243,10000.0,0.589236388861114,False,False
clearance_hepatocyte_az,Spearman,tpsa,above_median,77.17,121,,,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.1998941919479965,0.3208626886682305,-0.1209684967202339,-0.3230353156525938,0.0854983915880286,0.2583741625837416,10000.0,0.29432187216061,False,False
clearance_microsome_az,Spearman,molecular_weight,low_or_equal_median,424.54100000000017,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.5373014977392051,0.3320668176219425,0.2052346801172625,0.0454066622810201,0.3623027008067774,0.0145985401459854,10000.0,0.0217319177173191,True,True
clearance_microsome_az,Spearman,molecular_weight,above_median,424.54100000000017,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7574213449964959,0.3194956827605928,0.437925662235903,0.2673006241469762,0.6208685229910282,0.0001999800019998,10000.0,0.0004030366194149,True,True
clearance_microsome_az,Spearman,clogp,low_or_equal_median,3.8472000000000026,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.51423702198126,0.3674169760225662,0.1468200459586937,-0.0117006513002431,0.3049908312815628,0.071992800719928,10000.0,0.093376800933768,False,True
clearance_microsome_az,Spearman,clogp,above_median,3.8472000000000026,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.7611529835941837,0.2974604783257145,0.4636925052684691,0.2942096334777936,0.6428900736328296,0.0001999800019998,10000.0,0.0004030366194149,True,True
clearance_microsome_az,Spearman,tpsa,low_or_equal_median,76.80000000000001,111,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.6168263411436026,0.2236080646014504,0.3932182765421521,0.2301895249415649,0.5612159067543372,0.0001999800019998,10000.0,0.0004030366194149,True,True
clearance_microsome_az,Spearman,tpsa,above_median,76.80000000000001,110,,,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.6712673358560852,0.4581096259714267,0.2131577098846584,0.0732414434548535,0.3621806532808328,0.0045995400459954,10000.0,0.0077248685387871,True,True
cyp2c9_substrate_carbonmangels,AUPRC,molecular_weight,low_or_equal_median,334.379,68,21.0,0.3088235294117647,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.3815138621915875,0.3355156877565841,0.0459981744350034,-0.0386818813666691,0.1950739241858943,0.2387761223877612,10000.0,0.2743830880069888,False,True
cyp2c9_substrate_carbonmangels,AUPRC,molecular_weight,above_median,334.379,67,17.0,0.2537313432835821,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.572874258967451,0.4552318620799744,0.1176423968874765,-0.0287234808182994,0.2608452025702204,0.1131886811318868,10000.0,0.1398841247950676,False,True
cyp2c9_substrate_carbonmangels,AUPRC,clogp,low_or_equal_median,3.1783400000000013,68,17.0,0.25,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.4173986040827706,0.3882434977386541,0.0291551063441165,-0.0754204403707926,0.203816337024266,0.4403559644035596,10000.0,0.4728412404661173,False,True
cyp2c9_substrate_carbonmangels,AUPRC,clogp,above_median,3.1783400000000013,67,21.0,0.3134328358208955,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.5279511876762837,0.3720287451630735,0.1559224425132102,0.0187446619978185,0.3194426029091976,0.0281971802819718,10000.0,0.04043508692609,True,True
